track_id,display_name,delta,track_type,ref_val,alt_val,abs_delta,rank
ENCSR245ZCU,"common myeloid progenitor, CD34-positive | Histone ChIP",0.00390625,BigWig,0.57421875,0.578125,0.00390625,2834
ENCSR911BCA,"effector memory CD4-positive, alpha-beta T cell | Histo",0.00390625,BigWig,0.6953125,0.69921875,0.00390625,2835
ENCSR750ZCV,"effector memory CD4-positive, alpha-beta T cell | Histo",0.00390625,BigWig,0.6953125,0.69921875,0.00390625,2836
ENCSR324VZT,fibroblast of breast | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.56640625,0.5703125,0.00390625,2837
ENCSR902QIJ,fibroblast of breast | Histone ChIP-seq | H3K4me3,0.00390625,BigWig,0.7734375,0.77734375,0.00390625,2838
ENCSR000DVC,fibroblast of lung | Histone ChIP-seq | H3K4me3,0.00390625,BigWig,0.54296875,0.546875,0.00390625,2839
ENCSR383BLX,fibroblast of skin of right biceps | DNase-seq,0.00390625,BigWig,0.6484375,0.65234375,0.00390625,2840
ENCSR360LBD,fibroblast of skin of scalp | DNase-seq,0.00390625,BigWig,0.66015625,0.6640625,0.00390625,2841
ENCSR770DEN,fibroblast of skin of scalp | DNase-seq,0.00390625,BigWig,0.62890625,0.6328125,0.00390625,2842
ENCSR325LYJ,fibroblast of upper back skin | DNase-seq,0.00390625,BigWig,0.6171875,0.62109375,0.00390625,2843
ENCSR285UTJ,foreskin fibroblast | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.99609375,0.9921875,0.00390625,2844
ENCSR417IEJ,foreskin fibroblast | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.98046875,0.9765625,0.00390625,2845
ENCSR367HVD,foreskin fibroblast | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.81640625,0.8203125,0.00390625,2846
ENCSR000DUJ,foreskin fibroblast | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.53125,0.52734375,0.00390625,2847
ENCSR035RVH,foreskin keratinocyte | DNase-seq,0.00390625,BigWig,0.609375,0.61328125,0.00390625,2848
ENCSR724CND,foreskin keratinocyte | DNase-seq,0.00390625,BigWig,0.62890625,0.6328125,0.00390625,2849
ENCSR268BMX,foreskin keratinocyte | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.82421875,0.8203125,0.00390625,2850
ENCSR481YGZ,foreskin melanocyte | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.70703125,0.703125,0.00390625,2851
ENCSR353LBX,foreskin melanocyte | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.65625,0.66015625,0.00390625,2852
ENCSR571CSC,foreskin melanocyte | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.87890625,0.875,0.00390625,2853
ENCSR000ARN,keratinocyte | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.73046875,0.734375,0.00390625,2854
ENCSR257CIZ,kidney tubule cell | DNase-seq,-0.00390625,BigWig,0.7734375,0.76953125,0.00390625,2855
ENCSR597RXT,mammary epithelial cell | Histone ChIP-seq | H3K36me3,-0.00390625,BigWig,0.8125,0.80859375,0.00390625,2856
ENCSR000AMJ,mammary epithelial cell | Histone ChIP-seq | H3K4me1,-0.00390625,BigWig,0.64453125,0.640625,0.00390625,2857
ENCSR635XBA,mammary stem cell | Histone ChIP-seq | H3K36me3,-0.00390625,BigWig,0.984375,0.98046875,0.00390625,2858
ENCSR262VXI,mesenchymal stem cell | Histone ChIP-seq | H3K27me3,0.00390625,BigWig,0.9140625,0.91796875,0.00390625,2859
ENCSR000EXT,mononuclear cell | Histone ChIP-seq | H3K4me3,0.00390625,BigWig,0.640625,0.64453125,0.00390625,2860
ENCSR557OPY,myoepithelial cell of mammary gland | Histone ChIP-seq,-0.00390625,BigWig,0.9921875,0.98828125,0.00390625,2861
ENCSR813ULW,myoepithelial cell of mammary gland | Histone ChIP-seq,0.00390625,BigWig,0.79296875,0.796875,0.00390625,2862
ENCSR177QXA,myoepithelial cell of mammary gland | Histone ChIP-seq,0.00390625,BigWig,0.6171875,0.62109375,0.00390625,2863
ENCSR485URZ,"naive thymus-derived CD4-positive, alpha-beta T cell |",-0.00390625,BigWig,0.734375,0.73046875,0.00390625,2864
ENCSR637IOH,"naive thymus-derived CD4-positive, alpha-beta T cell |",-0.00390625,BigWig,0.78515625,0.78125,0.00390625,2865
ENCSR198YHG,"naive thymus-derived CD4-positive, alpha-beta T cell |",-0.00390625,BigWig,0.69140625,0.6875,0.00390625,2866
ENCSR161XBV,"naive thymus-derived CD4-positive, alpha-beta T cell |",0.00390625,BigWig,0.6796875,0.68359375,0.00390625,2867
ENCSR224LFY,"naive thymus-derived CD4-positive, alpha-beta T cell |",-0.00390625,BigWig,0.71484375,0.7109375,0.00390625,2868
ENCSR229QYR,"naive thymus-derived CD4-positive, alpha-beta T cell |",0.00390625,BigWig,0.73828125,0.7421875,0.00390625,2869
ENCSR723JLG,natural killer cell | DNase-seq,-0.00390625,BigWig,0.70703125,0.703125,0.00390625,2870
ENCSR127MFA,neurosphere | Histone ChIP-seq | H3K36me3,0.00390625,BigWig,0.88671875,0.890625,0.00390625,2871
ENCSR103HMP,neurosphere | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.6171875,0.61328125,0.00390625,2872
ENCSR130PLZ,neurosphere | Histone ChIP-seq | H3K4me3,0.00390625,BigWig,0.59375,0.59765625,0.00390625,2873
ENCSR568OLP,neurosphere | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.71484375,0.7109375,0.00390625,2874
ENCSR577CDW,neurosphere | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.6953125,0.69921875,0.00390625,2875
ENCSR000APH,osteoblast | Histone ChIP-seq | H3K27ac,0.00390625,BigWig,0.63671875,0.640625,0.00390625,2876
ENCSR000AQS,osteoblast | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.87890625,0.875,0.00390625,2877
ENCSR000ATH,osteoblast | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.625,0.62109375,0.00390625,2878
ENCSR390SFH,peripheral blood mononuclear cell | Histone ChIP-seq |,-0.00390625,BigWig,0.85546875,0.8515625,0.00390625,2879
ENCSR866UQO,peripheral blood mononuclear cell | Histone ChIP-seq |,-0.00390625,BigWig,0.8203125,0.81640625,0.00390625,2880
ENCSR692DOM,peripheral blood mononuclear cell | Histone ChIP-seq |,0.00390625,BigWig,0.83203125,0.8359375,0.00390625,2881
ENCSR206JRX,peripheral blood mononuclear cell | Histone ChIP-seq |,0.00390625,BigWig,0.71484375,0.71875,0.00390625,2882
ENCSR605OYC,peripheral blood mononuclear cell | Histone ChIP-seq |,0.00390625,BigWig,0.80859375,0.8125,0.00390625,2883
ENCSR000DVK,retinal pigment epithelial cell | Histone ChIP-seq | H3,0.00390625,BigWig,0.5859375,0.58984375,0.00390625,2884
ENCSR000ANG,skeletal muscle myoblast | Histone ChIP-seq | H3K27me3,0.00390625,BigWig,0.84765625,0.8515625,0.00390625,2885
ENCSR000ANK,skeletal muscle myoblast | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.63671875,0.6328125,0.00390625,2886
ENCSR312CKN,skeletal muscle satellite cell | Histone ChIP-seq | H3K,-0.00390625,BigWig,0.921875,0.91796875,0.00390625,2887
ENCSR100HGO,skeletal muscle satellite cell | Histone ChIP-seq | H3K,0.00390625,BigWig,0.63671875,0.640625,0.00390625,2888
ENCSR000EMH,stromal cell of bone marrow | DNase-seq,-0.00390625,BigWig,0.6171875,0.61328125,0.00390625,2889
ENCSR206FSY,Peyer's patch | DNase-seq,-0.00390625,BigWig,0.98828125,0.984375,0.00390625,2890
ENCSR452ZMO,Peyer's patch | DNase-seq,-0.00390625,BigWig,0.96484375,0.9609375,0.00390625,2891
ENCSR982PLJ,Peyer's patch | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.75,0.74609375,0.00390625,2892
ENCSR856QJX,adrenal gland | DNase-seq,0.00390625,BigWig,0.75390625,0.7578125,0.00390625,2893
ENCSR405ESP,adrenal gland | Histone ChIP-seq | H3K27ac,-0.00390625,BigWig,0.82421875,0.8203125,0.00390625,2894
ENCSR847AIA,adrenal gland | Histone ChIP-seq | H3K27ac,-0.00390625,BigWig,0.62109375,0.6171875,0.00390625,2895
ENCSR204DMS,adrenal gland | Histone ChIP-seq | H3K36me3,0.00390625,BigWig,0.66796875,0.671875,0.00390625,2896
ENCSR511GOF,adrenal gland | Histone ChIP-seq | H3K4me1,-0.00390625,BigWig,0.84765625,0.84375,0.00390625,2897
ENCSR234YIU,adrenal gland | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.80859375,0.8046875,0.00390625,2898
ENCSR926NMC,adrenal gland | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.71484375,0.7109375,0.00390625,2899
ENCSR053PIY,adrenal gland | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.67578125,0.671875,0.00390625,2900
ENCSR992VZG,adrenal gland | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.94921875,0.9453125,0.00390625,2901
ENCSR430RVP,amnion | Histone ChIP-seq | H3K27ac,0.00390625,BigWig,0.86328125,0.8671875,0.00390625,2902
ENCSR144NDE,amnion | Histone ChIP-seq | H3K27me3,0.00390625,BigWig,0.76953125,0.7734375,0.00390625,2903
ENCSR495GRN,amnion | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.71484375,0.7109375,0.00390625,2904
ENCSR380KOO,angular gyrus | Histone ChIP-seq | H3K27ac,0.00390625,BigWig,0.85546875,0.859375,0.00390625,2905
ENCSR891XGQ,angular gyrus | Histone ChIP-seq | H3K27ac,-0.00390625,BigWig,0.8515625,0.84765625,0.00390625,2906
ENCSR057RET,angular gyrus | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.73828125,0.734375,0.00390625,2907
ENCSR319WAD,angular gyrus | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.6796875,0.67578125,0.00390625,2908
ENCSR519CFV,aorta | Histone ChIP-seq | H3K27ac,-0.00390625,BigWig,0.71875,0.71484375,0.00390625,2909
ENCSR128VHV,aorta | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.65625,0.65234375,0.00390625,2910
ENCSR989AMI,aorta | Histone ChIP-seq | H3K36me3,-0.00390625,BigWig,0.79296875,0.7890625,0.00390625,2911
ENCSR852TRT,ascending aorta | DNase-seq,-0.00390625,BigWig,0.984375,0.98046875,0.00390625,2912
ENCSR069UMW,ascending aorta | Histone ChIP-seq | H3K27ac,-0.00390625,BigWig,0.671875,0.66796875,0.00390625,2913
ENCSR248PES,ascending aorta | Histone ChIP-seq | H3K36me3,-0.00390625,BigWig,0.890625,0.88671875,0.00390625,2914
ENCSR122LOZ,ascending aorta | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.65625,0.65234375,0.00390625,2915
ENCSR645FBM,ascending aorta | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.65234375,0.6484375,0.00390625,2916
ENCSR903GLL,body of pancreas | Histone ChIP-seq | H3K27me3,0.00390625,BigWig,0.6875,0.69140625,0.00390625,2917
ENCSR977CEC,body of pancreas | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.73046875,0.7265625,0.00390625,2918
ENCSR523JCB,body of pancreas | Histone ChIP-seq | H3K36me3,0.00390625,BigWig,0.78515625,0.7890625,0.00390625,2919
ENCSR689SFJ,body of pancreas | Histone ChIP-seq | H3K36me3,0.00390625,BigWig,0.80859375,0.8125,0.00390625,2920
ENCSR429XBU,body of pancreas | Histone ChIP-seq | H3K4me1,-0.00390625,BigWig,0.70703125,0.703125,0.00390625,2921
ENCSR554RQQ,body of pancreas | Histone ChIP-seq | H3K4me3,0.00390625,BigWig,0.70703125,0.7109375,0.00390625,2922
ENCSR876DCP,body of pancreas | Histone ChIP-seq | H3K4me3,0.00390625,BigWig,0.66015625,0.6640625,0.00390625,2923
ENCSR026EOM,brain | DNase-seq,0.00390625,BigWig,0.62890625,0.6328125,0.00390625,2924
ENCSR420RWU,brain | DNase-seq,-0.00390625,BigWig,0.83984375,0.8359375,0.00390625,2925
ENCSR572LDG,brain | DNase-seq,-0.00390625,BigWig,0.7734375,0.76953125,0.00390625,2926
ENCSR595CSH,brain | DNase-seq,-0.00390625,BigWig,0.60546875,0.6015625,0.00390625,2927
ENCSR386JEL,brain | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.7109375,0.71484375,0.00390625,2928
ENCSR798RTU,caudate nucleus | Histone ChIP-seq | H3K27ac,-0.00390625,BigWig,0.84765625,0.84375,0.00390625,2929
ENCSR303OIB,caudate nucleus | Histone ChIP-seq | H3K4me1,-0.00390625,BigWig,0.78125,0.77734375,0.00390625,2930
ENCSR672FMZ,caudate nucleus | Histone ChIP-seq | H3K9ac,-0.00390625,BigWig,0.80859375,0.8046875,0.00390625,2931
ENCSR109NBJ,caudate nucleus | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.671875,0.67578125,0.00390625,2932
ENCSR767WVZ,chorion | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.85546875,0.859375,0.00390625,2933
ENCSR787CAJ,chorion | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.703125,0.69921875,0.00390625,2934
ENCSR949HMJ,chorionic villus | Histone ChIP-seq | H3K27me3,0.00390625,BigWig,0.84375,0.84765625,0.00390625,2935
ENCSR389OFJ,chorionic villus | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.85546875,0.859375,0.00390625,2936
ENCSR397FAN,chorionic villus | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.890625,0.89453125,0.00390625,2937
ENCSR473ZFG,chorionic villus | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.84765625,0.8515625,0.00390625,2938
ENCSR320MYR,chorionic villus | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.6875,0.68359375,0.00390625,2939
ENCSR660RYC,chorionic villus | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.7421875,0.74609375,0.00390625,2940
ENCSR604JDV,cingulate gyrus | Histone ChIP-seq | H3K27ac,0.00390625,BigWig,0.8515625,0.85546875,0.00390625,2941
ENCSR736SFP,cingulate gyrus | Histone ChIP-seq | H3K36me3,-0.00390625,BigWig,0.95703125,0.953125,0.00390625,2942
ENCSR443NEP,cingulate gyrus | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.77734375,0.78125,0.00390625,2943
ENCSR693GVU,cingulate gyrus | Histone ChIP-seq | H3K4me3,0.00390625,BigWig,0.765625,0.76953125,0.00390625,2944
ENCSR327XTS,colonic mucosa | Histone ChIP-seq | H3K27ac,-0.00390625,BigWig,0.73046875,0.7265625,0.00390625,2945
ENCSR142BBV,colonic mucosa | Histone ChIP-seq | H3K36me3,-0.00390625,BigWig,0.9765625,0.97265625,0.00390625,2946
ENCSR060HPL,coronary artery | DNase-seq,-0.00390625,BigWig,0.9765625,0.97265625,0.00390625,2947
ENCSR311RML,dorsolateral prefrontal cortex | Histone ChIP-seq | H3K,-0.00390625,BigWig,0.8046875,0.80078125,0.00390625,2948
ENCSR645NLL,duodenal mucosa | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.84375,0.83984375,0.00390625,2949
ENCSR176WAS,duodenal mucosa | Histone ChIP-seq | H3K36me3,0.00390625,BigWig,0.890625,0.89453125,0.00390625,2950
ENCSR492PXH,endocrine pancreas | Histone ChIP-seq | H3K27ac,0.00390625,BigWig,0.625,0.62890625,0.00390625,2951
ENCSR581UGC,endocrine pancreas | Histone ChIP-seq | H3K27me3,0.00390625,BigWig,0.78125,0.78515625,0.00390625,2952
ENCSR111RZN,endocrine pancreas | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.6328125,0.62890625,0.00390625,2953
ENCSR641RQV,esophagus | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.76953125,0.765625,0.00390625,2954
ENCSR177CGN,esophagus muscularis mucosa | Histone ChIP-seq | H3K27m,-0.00390625,BigWig,0.7578125,0.75390625,0.00390625,2955
ENCSR743KZR,esophagus muscularis mucosa | Histone ChIP-seq | H3K36m,-0.00390625,BigWig,0.921875,0.91796875,0.00390625,2956
ENCSR229KWP,esophagus muscularis mucosa | Histone ChIP-seq | H3K4me,-0.00390625,BigWig,0.71484375,0.7109375,0.00390625,2957
ENCSR578MTT,esophagus muscularis mucosa | Histone ChIP-seq | H3K9me,-0.00390625,BigWig,0.73828125,0.734375,0.00390625,2958
ENCSR057BFO,esophagus squamous epithelium | Histone ChIP-seq | H3K2,0.00390625,BigWig,0.7109375,0.71484375,0.00390625,2959
ENCSR057YVO,esophagus squamous epithelium | Histone ChIP-seq | H3K9,-0.00390625,BigWig,0.71484375,0.7109375,0.00390625,2960
ENCSR201OSX,gastrocnemius medialis | Histone ChIP-seq | H3K27me3,0.00390625,BigWig,0.66015625,0.6640625,0.00390625,2961
ENCSR697RIW,gastrocnemius medialis | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.62109375,0.625,0.00390625,2962
ENCSR899TDF,gastrocnemius medialis | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.6640625,0.66796875,0.00390625,2963
ENCSR922OXX,gastrocnemius medialis | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.69921875,0.6953125,0.00390625,2964
ENCSR872WVR,gastroesophageal sphincter | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.71484375,0.71875,0.00390625,2965
ENCSR025CGR,gastroesophageal sphincter | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.73046875,0.734375,0.00390625,2966
ENCSR717BNA,germinal matrix | Histone ChIP-seq | H3K36me3,0.00390625,BigWig,0.94140625,0.9453125,0.00390625,2967
ENCSR359JHU,germinal matrix | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.65625,0.65234375,0.00390625,2968
ENCSR536NGW,heart | DNase-seq,0.00390625,BigWig,0.80859375,0.8125,0.00390625,2969
