track_id,display_name,delta,track_type,ref_val,alt_val,abs_delta,rank
ENCSR059LXL,muscle of leg | DNase-seq,0.00390625,BigWig,0.6875,0.69140625,0.00390625,3047
ENCSR167XSQ,muscle of leg | DNase-seq,-0.00390625,BigWig,0.6875,0.68359375,0.00390625,3048
ENCSR150MZT,muscle of leg | Histone ChIP-seq | H3K36me3,-0.00390625,BigWig,0.96875,0.96484375,0.00390625,3049
ENCSR686PTV,muscle of trunk | Histone ChIP-seq | H3K27me3,0.00390625,BigWig,0.98046875,0.984375,0.00390625,3050
ENCSR154OUQ,omental fat pad | DNase-seq,-0.00390625,BigWig,0.9609375,0.95703125,0.00390625,3051
ENCSR244ZEJ,omental fat pad | DNase-seq,-0.00390625,BigWig,0.97265625,0.96875,0.00390625,3052
ENCSR712PYJ,ovary | DNase-seq,0.00390625,BigWig,0.7734375,0.77734375,0.00390625,3053
ENCSR315LPR,pancreas | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.62890625,0.625,0.00390625,3054
ENCSR533HDU,pancreas | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.8203125,0.82421875,0.00390625,3055
ENCSR335LTZ,parathyroid adenoma | Histone ChIP-seq | H3K9ac,0.00390625,BigWig,0.71484375,0.71875,0.00390625,3056
ENCSR492DBQ,parathyroid adenoma | Histone ChIP-seq | H3K9ac,-0.00390625,BigWig,0.7578125,0.75390625,0.00390625,3057
ENCSR688SJY,parathyroid adenoma | Histone ChIP-seq | H3K9me3,-0.00390625,BigWig,0.65625,0.65234375,0.00390625,3058
ENCSR552RKI,placenta | DNase-seq,-0.00390625,BigWig,0.94140625,0.9375,0.00390625,3059
ENCSR575VMI,placenta | DNase-seq,0.00390625,BigWig,0.75390625,0.7578125,0.00390625,3060
ENCSR802AJE,placenta | DNase-seq,0.00390625,BigWig,0.79296875,0.796875,0.00390625,3061
ENCSR451EKU,placenta | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.6328125,0.63671875,0.00390625,3062
ENCSR526RGE,placental basal plate | Histone ChIP-seq | H3K27ac,0.00390625,BigWig,0.90625,0.91015625,0.00390625,3063
ENCSR481QER,placental basal plate | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.87109375,0.875,0.00390625,3064
ENCSR829MXU,pons | DNase-seq,0.00390625,BigWig,0.71484375,0.71875,0.00390625,3065
ENCSR133QBG,prostate gland | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.7265625,0.73046875,0.00390625,3066
ENCSR949OYZ,psoas muscle | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.59375,0.58984375,0.00390625,3067
ENCSR394DRL,psoas muscle | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.58203125,0.5859375,0.00390625,3068
ENCSR022ECC,renal cortex interstitium | DNase-seq,0.00390625,BigWig,0.64453125,0.6484375,0.00390625,3069
ENCSR550UWM,renal cortex interstitium | DNase-seq,-0.00390625,BigWig,0.65234375,0.6484375,0.00390625,3070
ENCSR828RNY,renal cortex interstitium | DNase-seq,0.00390625,BigWig,0.640625,0.64453125,0.00390625,3071
ENCSR932DHT,renal cortex interstitium | DNase-seq,-0.00390625,BigWig,0.65625,0.65234375,0.00390625,3072
ENCSR141DMX,renal pelvis | DNase-seq,-0.00390625,BigWig,0.703125,0.69921875,0.00390625,3073
ENCSR301RCD,renal pelvis | DNase-seq,0.00390625,BigWig,0.703125,0.70703125,0.00390625,3074
ENCSR911YVV,renal pelvis | DNase-seq,-0.00390625,BigWig,0.6484375,0.64453125,0.00390625,3075
ENCSR474GZQ,retina | DNase-seq,0.00390625,BigWig,0.6796875,0.68359375,0.00390625,3076
ENCSR967KZJ,right atrium auricular region | Histone ChIP-seq | H3K3,-0.00390625,BigWig,0.8671875,0.86328125,0.00390625,3077
ENCSR972RKX,right cardiac atrium | Histone ChIP-seq | H3K27me3,0.00390625,BigWig,0.65625,0.66015625,0.00390625,3078
ENCSR548LZS,right cardiac atrium | Histone ChIP-seq | H3K4me3,0.00390625,BigWig,0.578125,0.58203125,0.00390625,3079
ENCSR274SDO,right forelimb | DNase-seq,0.00390625,BigWig,0.91015625,0.9140625,0.00390625,3080
ENCSR449HOQ,right hindlimb | DNase-seq,0.00390625,BigWig,0.85546875,0.859375,0.00390625,3081
ENCSR414ZUA,right kidney | DNase-seq,-0.00390625,BigWig,0.6640625,0.66015625,0.00390625,3082
ENCSR871APX,right kidney | DNase-seq,0.00390625,BigWig,0.71484375,0.71875,0.00390625,3083
ENCSR080QVO,right lobe of liver | Histone ChIP-seq | H3K36me3,-0.00390625,BigWig,0.8125,0.80859375,0.00390625,3084
ENCSR489DUV,right lobe of liver | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.703125,0.70703125,0.00390625,3085
ENCSR614JFD,right lobe of liver | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.69140625,0.6953125,0.00390625,3086
ENCSR263IGU,right lung | DNase-seq,0.00390625,BigWig,0.59765625,0.6015625,0.00390625,3087
ENCSR299INS,right lung | DNase-seq,-0.00390625,BigWig,0.65625,0.65234375,0.00390625,3088
ENCSR445XYW,right lung | DNase-seq,0.00390625,BigWig,0.6640625,0.66796875,0.00390625,3089
ENCSR964VVW,right lung | DNase-seq,-0.00390625,BigWig,0.6328125,0.62890625,0.00390625,3090
ENCSR540PVZ,right renal pelvis | DNase-seq,-0.00390625,BigWig,0.7109375,0.70703125,0.00390625,3091
ENCSR391YAV,sigmoid colon | DNase-seq,-0.00390625,BigWig,0.94921875,0.9453125,0.00390625,3092
ENCSR462XTM,sigmoid colon | DNase-seq,-0.00390625,BigWig,0.97265625,0.96875,0.00390625,3093
ENCSR213SMK,sigmoid colon | Histone ChIP-seq | H3K27ac,-0.00390625,BigWig,0.8125,0.80859375,0.00390625,3094
ENCSR897TGR,sigmoid colon | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.875,0.87109375,0.00390625,3095
ENCSR445RFF,sigmoid colon | Histone ChIP-seq | H3K36me3,0.00390625,BigWig,0.9375,0.94140625,0.00390625,3096
ENCSR751JOQ,sigmoid colon | Histone ChIP-seq | H3K36me3,0.00390625,BigWig,0.87890625,0.8828125,0.00390625,3097
ENCSR782OZZ,sigmoid colon | Histone ChIP-seq | H3K4me1,0.00390625,BigWig,0.71484375,0.71875,0.00390625,3098
ENCSR682GOI,sigmoid colon | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.70703125,0.7109375,0.00390625,3099
ENCSR238LEG,skeletal muscle tissue | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.6796875,0.67578125,0.00390625,3100
ENCSR767NIF,skeletal muscle tissue | Histone ChIP-seq | H3K4me3,-0.00390625,BigWig,0.7421875,0.73828125,0.00390625,3101
