track,reference,stat,lo,hi
D_BW_ENCSR000ELX,benign,std,-0.013610125424239025,0.014797424463358353
D_BW_ENCSR000ELX,benign,mad,-0.005534082651138306,0.006073623895645142
D_BW_ENCSR000DPI,all,std,-0.008527321940965999,0.008658806566490087
D_BW_ENCSR000DPI,all,mad,-0.0032978355884552,0.0032978355884552
D_BW_ENCSR000DPI,benign,std,-0.007225976654117405,0.007649265088606565
D_BW_ENCSR000DPI,benign,mad,-0.0030220746994018555,0.0030220746994018555
D_BW_ENCSR000ELY,all,std,-0.014959966495975661,0.015752656237442316
D_BW_ENCSR000ELY,all,mad,-0.006442427635192871,0.006444334983825684
D_BW_ENCSR000ELY,benign,std,-0.01379404278333329,0.014707936838824109
D_BW_ENCSR000ELY,benign,mad,-0.006306171417236328,0.0063367486000061035
D_BW_ENCSR000DPL,all,std,-0.014355828711290762,0.014418320454229005
D_BW_ENCSR000DPL,all,mad,-0.005857616662979126,0.005857616662979126
D_BW_ENCSR000DPL,benign,std,-0.013526119626617438,0.014516294267319825
D_BW_ENCSR000DPL,benign,mad,-0.0056046247482299805,0.005669593811035156
D_BW_ENCSR000DPK,all,std,-0.00993715757241766,0.01085444634892914
D_BW_ENCSR000DPK,all,mad,-0.003878176212310791,0.003967642784118652
D_BW_ENCSR000DPK,benign,std,-0.009754092572155024,0.010917320103545337
D_BW_ENCSR000DPK,benign,mad,-0.003477156162261963,0.003672957420349121
D_BW_ENCSR000DPO,all,std,-0.008679542010101578,0.008746587962799729
D_BW_ENCSR000DPO,all,mad,-0.0031488537788391113,0.0031488537788391113
D_BW_ENCSR000DPO,benign,std,-0.0073598654198039305,0.007802163673181209
D_BW_ENCSR000DPO,benign,mad,-0.0028855502605438232,0.0028855502605438232
D_BW_ENCSR000DPJ,all,std,-0.016105966946045245,0.01415775212233181
D_BW_ENCSR000DPJ,all,mad,-0.006392240524291992,0.005960285663604736
D_BW_ENCSR000DPJ,benign,std,-0.015142701497233471,0.014158102208775992
D_BW_ENCSR000DPJ,benign,mad,-0.005734562873840332,0.005623579025268555
D_BW_ENCSR000EIV,all,std,-0.011380820232447068,0.013107767092408268
D_BW_ENCSR000EIV,all,mad,-0.004725784063339233,0.00533023476600647
D_BW_ENCSR000EIV,benign,std,-0.010477209028102254,0.011536922726707442
D_BW_ENCSR000EIV,benign,mad,-0.004482090473175049,0.00484621524810791
D_BW_ENCSR000EIW,all,std,-0.010756675411830657,0.011536922283639985
D_BW_ENCSR000EIW,all,mad,-0.004058480262756348,0.004060626029968262
D_BW_ENCSR000EIW,benign,std,-0.009931397581978441,0.010539024734610885
D_BW_ENCSR000EIW,benign,mad,-0.0038251280784606934,0.003830850124359131
D_BW_ENCSR000ELZ,all,std,-0.01615179171757744,0.01766054482095545
D_BW_ENCSR000ELZ,all,mad,-0.004572361707687378,0.005061835050582886
D_BW_ENCSR000ELZ,benign,std,-0.014900421063752781,0.0158221480419855
D_BW_ENCSR000ELZ,benign,mad,-0.0041351318359375,0.004459023475646973
D_BW_ENCSR000DPR,all,std,-0.00956614361632507,0.009211027690954325
D_BW_ENCSR000DPR,all,mad,-0.00306662917137146,0.00306662917137146
D_BW_ENCSR000DPR,benign,std,-0.008089114012644826,0.008181496926370832
D_BW_ENCSR000DPR,benign,mad,-0.0027276575565338135,0.0027276575565338135
D_BW_ENCSR000EMA,all,std,-0.015479681318594937,0.016260631595623257
D_BW_ENCSR000EMA,all,mad,-0.004884272813796997,0.0048995912075042725
D_BW_ENCSR000EMA,benign,std,-0.01368122610187485,0.014349131762905563
D_BW_ENCSR000EMA,benign,mad,-0.004405885934829712,0.004471808671951294
D_BW_ENCSR000DPU,all,std,-0.007956878348531623,0.008009655023172623
D_BW_ENCSR000DPU,all,mad,-0.0019843578338623047,0.0019843578338623047
D_BW_ENCSR000DPU,benign,std,-0.00672835419447831,0.00688620827646155
D_BW_ENCSR000DPU,benign,mad,-0.001725703477859497,0.001725703477859497
D_BW_ENCSR000EMB,all,std,-0.01721762110898457,0.018309381569369735
D_BW_ENCSR000EMB,all,mad,-0.003765106201171875,0.003945708274841309
D_BW_ENCSR000EMB,benign,std,-0.015379740163625526,0.01614978388544608
D_BW_ENCSR000EMB,benign,mad,-0.0033833980560302734,0.0036250948905944824
D_BW_ENCSR000DPX,all,std,-0.009210991396017512,0.009700772622536248
D_BW_ENCSR000DPX,all,mad,-0.0032976865768432617,0.0032976865768432617
D_BW_ENCSR000DPX,benign,std,-0.007515868629353194,0.008321964659959357
D_BW_ENCSR000DPX,benign,mad,-0.0029928982257843018,0.0029928982257843018
D_BW_ENCSR000EIX,all,std,-0.011572131532647726,0.012243631935488582
D_BW_ENCSR000EIX,all,mad,-0.004637360572814941,0.0046378374099731445
D_BW_ENCSR000EIX,benign,std,-0.010513804357209942,0.010952811383472713
D_BW_ENCSR000EIX,benign,mad,-0.0043440163135528564,0.004344850778579712
D_BW_ENCSR000EMD,all,std,-0.02067153087667714,0.02190138672462008
D_BW_ENCSR000EMD,all,mad,-0.007950127124786377,0.008006155490875244
