track,reference,stat,lo,hi
D_BED_promoter_Tissue_specific,benign,mad,-0.0041339211165905,0.004362594336271286
D_BED_promoter_Tissue_invariant,all,std,-0.011396303896934985,0.01603489587652022
D_BED_promoter_Tissue_invariant,all,mad,-0.004070000723004341,0.006665052846074104
D_BED_promoter_Tissue_invariant,benign,std,-0.008038547909016897,0.00795875212030819
D_BED_promoter_Tissue_invariant,benign,mad,-0.002186000347137451,0.002448633313179016
D_BED_5UTR+,all,std,-0.0265569027949844,0.08146579716101492
D_BED_5UTR+,all,mad,-0.0032508987933397293,0.024977706372737885
D_BED_5UTR+,benign,std,-0.015804194989947958,0.018691816738493752
D_BED_5UTR+,benign,mad,-0.0026008039712905884,0.0030176937580108643
D_BED_5UTR-,all,std,-0.025491812989064017,0.07116001875241851
D_BED_5UTR-,all,mad,-0.002782069146633148,0.01948368549346924
D_BED_5UTR-,benign,std,-0.014167367308605338,0.01809627614262079
D_BED_5UTR-,benign,mad,-0.0031513646245002747,0.003829948604106903
D_BED_3UTR+,all,std,-0.01578621306647051,0.04311141859088019
D_BED_3UTR+,all,mad,-0.002844872884452343,0.016630596481263638
D_BED_3UTR+,benign,std,-0.01101497651950137,0.012137949246261352
D_BED_3UTR+,benign,mad,-0.002750605344772339,0.003102123737335205
D_BED_3UTR-,all,std,-0.01633548824252097,0.031578691295443946
D_BED_3UTR-,all,mad,-0.002669720910489559,0.01132300216704607
D_BED_3UTR-,benign,std,-0.013103363878312433,0.013667972070650337
D_BED_3UTR-,benign,mad,-0.002315238118171692,0.0023182034492492676
D_BED_skipped_exon,all,std,-0.1312081029760923,0.06558763583575697
D_BED_skipped_exon,all,mad,-0.02965272217988968,0.016833581030368805
D_BED_skipped_exon,benign,std,-0.0244313630408474,0.027458660700441333
D_BED_skipped_exon,benign,mad,-0.0041182152926921844,0.005839493125677109
D_BED_always_on_exon,all,std,-0.09132537242975372,0.06559371068523986
D_BED_always_on_exon,all,mad,-0.025226779282093048,0.02083781361579895
D_BED_always_on_exon,benign,std,-0.03131976108575093,0.03641824472018077
D_BED_always_on_exon,benign,mad,-0.003748595714569092,0.00548766553401947
D_BED_start_codon,all,std,-0.017715289287666247,0.03716464794844632
D_BED_start_codon,all,mad,-0.005492370575666428,0.01832519844174385
D_BED_start_codon,benign,std,-0.012078806759626115,0.015227673357479805
D_BED_start_codon,benign,mad,-0.002242952585220337,0.004698626697063446
D_BED_stop_codon,all,std,-0.015536671093536042,0.04605621070635309
D_BED_stop_codon,all,mad,-0.005256325006484985,0.023668110370635986
D_BED_stop_codon,benign,std,-0.0137460438138806,0.01656800696876772
D_BED_stop_codon,benign,mad,-0.003070816397666931,0.0048715174198150635
D_BED_ORF,all,std,-0.19901234425966674,0.04350249655859181
D_BED_ORF,all,mad,-0.07524481415748596,0.0029277801513671875
D_BED_ORF,benign,std,-0.0385593544953412,0.044043988275978704
D_BED_ORF,benign,mad,-0.004765905439853668,0.007743246853351593
D_BW_ENCSR391NPE,all,std,-0.014498367023267691,0.017203262987640237
D_BW_ENCSR391NPE,all,mad,-0.005882769823074341,0.006841331720352173
D_BW_ENCSR391NPE,benign,std,-0.009295003420122636,0.01250672700048745
D_BW_ENCSR391NPE,benign,mad,-0.0029250383377075195,0.005010008811950684
D_BW_ENCSR777CQW,all,std,-0.014823152265236787,0.017172996254338647
D_BW_ENCSR777CQW,all,mad,-0.006048053503036499,0.006671279668807983
D_BW_ENCSR777CQW,benign,std,-0.00921330384370801,0.011778151037854812
D_BW_ENCSR777CQW,benign,mad,-0.0032740235328674316,0.004660069942474365
D_BW_ENCSR932KWJ,all,std,-0.029017171208221233,0.02036055023803717
D_BW_ENCSR932KWJ,all,mad,-0.009077459573745728,0.006057709455490112
D_BW_ENCSR932KWJ,benign,std,-0.009371303213652336,0.014031907726685063
D_BW_ENCSR932KWJ,benign,mad,-0.0023580193519592285,0.00568467378616333
D_BW_ENCSR000ELW,all,std,-0.02176724982796502,0.021404659370758902
D_BW_ENCSR000ELW,all,mad,-0.007871448993682861,0.008290588855743408
D_BW_ENCSR000ELW,benign,std,-0.013592745786233172,0.016945462034904827
D_BW_ENCSR000ELW,benign,mad,-0.0027230381965637207,0.005117595195770264
D_BW_ENCSR000AUI,all,std,-0.022123740390731467,0.015820893903446157
D_BW_ENCSR000AUI,all,mad,-0.00896841287612915,0.006182253360748291
D_BW_ENCSR000AUI,benign,std,-0.018108260522403125,0.02181938648975822
D_BW_ENCSR000AUI,benign,mad,-0.0034587979316711426,0.005254685878753662
D_BW_ENCSR000AVF,all,std,-0.01726288173409242,0.013956151557657904
D_BW_ENCSR000AVF,all,mad,-0.006727546453475952,0.005738765001296997
