variant_type,delta_col,mean,std
snp,D_BW_ENCSR216OGD,0.0004088099886718978,0.00937689759657516
snp,D_BW_ENCSR928HYM,0.000399575439783243,0.010628924230359925
snp,D_BW_ENCSR476KTK,0.0005366092468174095,0.013247187842673154
snp,D_BW_ENCSR496DCY,-0.00010800468297595652,0.01109382528296145
snp,D_BW_ENCSR925LJZ,0.0005516646159255607,0.008500622978509715
snp,D_BW_ENCSR271TFS,0.00020384017983053485,0.01903687379725517
snp,D_BW_ENCSR631RJR,0.000398599028459981,0.011647868038921086
snp,D_BW_ENCSR991BTY,0.000480965741424479,0.016667463477546066
snp,D_BW_ENCSR019SQX,0.00023510678647420345,0.007413612854021835
snp,D_BW_ENCSR814XPE,7.296813667839409e-05,0.006998915789433888
snp,D_BW_ENCSR441UHO,0.0009094613866928296,0.01601274444406591
snp,D_BW_ENCSR952GVX,0.0005254989824233911,0.009128871829916426
snp,D_BW_ENCSR395USV,-2.886369888089661e-05,0.015401958584353725
snp,D_BW_ENCSR883AQJ,0.0011043437302876741,0.017527600626998856
snp,D_BW_ENCSR809CEA,0.0005334987790666074,0.012246013984468628
snp,D_BW_ENCSR000EJA,0.0008477607694191811,0.012767386517394069
snp,D_BW_ENCSR000EJO,-0.000165066976323087,0.011190092568790933
snp,D_BW_ENCSR000DSS,0.001142127713204449,0.014003888507700625
snp,D_BW_ENCSR000DSR,8.968375941627046e-05,0.007136793783179233
snp,D_BW_ENCSR000EJP,-0.00010485439601107541,0.010089534414894921
snp,D_BW_ENCSR275ICP,-0.0003455079359631253,0.01229216070634196
snp,D_BW_ENCSR754LIN,9.820410329052526e-05,0.012352935407156934
snp,D_BW_ENCSR915BSC,0.00032861422524492966,0.010809539379118863
snp,D_BW_ENCSR943SYS,-0.00017405002672448116,0.013362224647559548
snp,D_BW_ENCSR964WHY,9.672859540352454e-07,0.011866044247025344
snp,D_BW_ENCSR876RGF,0.0013220312408147713,0.015948001291712026
snp,D_BW_ENCSR754VAJ,0.0004419297521185671,0.006883166175532582
snp,D_BW_ENCSR792GCH,0.0010209785567389595,0.012734326360580871
snp,D_BW_ENCSR324UNL,0.0007657301094796923,0.0172264619549906
snp,D_BW_ENCSR870IUC,0.00015702379437593315,0.005846520885196856
