Element,Pathogenic_Mean,Pathogenic_SEM,Pathogenic_CI_Lower,Pathogenic_CI_Upper,Benign_Mean,Benign_SEM,Benign_CI_Lower,Benign_CI_Upper,Difference_Benign_minus_Path,Diff_CI_Lower,Diff_CI_Upper,Cohens_d,P_Value,N_Pathogenic,N_Benign,Significant
5UTR-,0.010744515988854723,0.00013261942976106796,0.010484572543010266,0.01100445943469918,0.00798151119700526,8.408709525365419e-05,0.007816692861653044,0.008146329532357475,-0.002763004791849464,-0.0030707844146311506,-0.0024552251690677773,-0.17074322642660755,5.141160893588426e-69,22252,18720,True
enhancer_Tissue_invariant,0.00952285187465701,8.767783179843338e-05,0.009350997133893028,0.009694706615420993,0.006395472997327387,6.698828288868302e-05,0.0062641698854704435,0.00652677610918433,-0.003127378877329624,-0.0033436445368950018,-0.002911113217764246,-0.2769301640423767,5.640802900410756e-175,22252,18720,True
5UTR+,0.01157192758733607,0.0001474400351957384,0.011282934708439985,0.011860920466232154,0.008315814847891387,8.9061096228572e-05,0.00814124701937077,0.008490382676412004,-0.003256112739444683,-0.003593724903345768,-0.0029185005755435977,-0.18314004011427784,2.612125499914714e-79,22252,18720,True
enhancer_Tissue_specific,0.020307455302218457,0.00018569593865943202,0.019943478151499144,0.02067143245293777,0.0165957943736088,0.00017446355622510853,0.016253829975505747,0.016937758771711855,-0.0037116609286096565,-0.004211059213458696,-0.0032122626437606173,-0.14354907161812813,5.984462873788655e-48,22252,18720,True
skipped_exon,0.018617133716760503,0.00024222901066731835,0.01814234775342317,0.019091919680097835,0.01229208120260324,0.00013364950917321402,0.01203011603950513,0.012554046365701349,-0.006325052514157263,-0.006867293111488849,-0.005782811916825677,-0.22087947524849424,7.988371188692459e-115,22252,18720,True
exon,0.01706443114483097,0.0003936480630905118,0.016292853147895695,0.017836009141766248,0.010536630420635145,0.00015163289199658173,0.010239416195692196,0.010833844645578093,-0.006527800724195827,-0.007354612574092419,-0.005700988874299234,-0.14823352578050605,8.527432406049866e-54,22252,18720,True
splice_donor,0.021050823715015037,0.00033285849046561393,0.020398397572434713,0.02170324985759536,0.014321595247791141,0.00011752286233983079,0.01409123977554837,0.014551950720033912,-0.006729228467223895,-0.00742110124308035,-0.00603735569136744,-0.18233917904515817,1.680713674578448e-80,22252,18720,True
always_on_exon,0.019908212977604655,0.000279511958236437,0.019360349804692412,0.020456076150516898,0.012335518100318842,0.00012802375771333828,0.012084579920468578,0.012586456280169106,-0.007572694877285813,-0.008175269830133,-0.006970119924438627,-0.2368026942558617,1.0975293160020345e-132,22252,18720,True
start_codon,0.028701812349398472,0.00037144181564078676,0.027973760165323013,0.02942986453347393,0.020726643356546344,0.00018196319889254858,0.02036997897842311,0.021083307734669578,-0.007975168992852128,-0.008785859747413168,-0.007164478238291088,-0.18567207045092207,2.2545104587183823e-82,22252,18720,True
ORF,0.02423721497418714,0.0004028648489365366,0.023447571426248193,0.025026858522126088,0.014913904163628243,0.0001582243551512834,0.014603770072903081,0.015224038254353405,-0.009323310810558897,-0.010171642268803984,-0.00847497935231381,-0.20641763169216515,4.133800203426676e-102,22252,18720,True
intron,0.023088049069723327,0.0003386650941190059,0.022424241574010698,0.023751856565435957,0.012820304938866637,0.00013271514442106475,0.012560171215451353,0.01308043866228192,-0.01026774413085669,-0.010980676060999306,-0.009554812200714075,-0.2704899318280321,5.987658938770825e-173,22252,18720,True
